County	Constituency	Ward	Latitude	Longitude
BARINGO	BARINGO  NORTH	BARTABWA	ATIAR PRIMARY SCHOOL	0.79837	35.789758
BARINGO	BARINGO  NORTH	BARTABWA	BARBARCHUN PRIMARY SCHOOL	0.77263	35.822628
BARINGO	BARINGO  NORTH	BARTABWA	BARINDER NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	BARITWO NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	BARSUSWO TRADING CENTRE	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	BARTABWA PRIMARY SCHOOL	0.83836	35.809868
BARINGO	BARINGO  NORTH	BARTABWA	BORUIYO PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	CHABIN PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	CHEMINTANY PRIMARY SCHOOL	0.896561	35.691444
BARINGO	BARINGO  NORTH	BARTABWA	CHEMOE PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	CHEPKESIN PRIMARY SCHOOL	0.87481	35.845358
BARINGO	BARINGO  NORTH	BARTABWA	CHEPKEU NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	KABARNET SCHOOL FOR THE DEAF AND BLIND	0.49792	35.738478
BARINGO	BARINGO  NORTH	BARTABWA	KABILANY PRIMARY SCHOOL	0.75739	35.807088
BARINGO	BARINGO  NORTH	BARTABWA	KALABATA PRIMARY SCHOOL	0.89241	35.774318
BARINGO	BARINGO  NORTH	BARTABWA	KAMWETIO PRIMARY SCHOOL	0.85647	35.866578
BARINGO	BARINGO  NORTH	BARTABWA	KAMWETON PRIMARY SCHOOL	0.81343	35.822998
BARINGO	BARINGO  NORTH	BARTABWA	KAPKURUKWO NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	KAPTURO PRIMARY SCHOOOL	0.90885	35.828138
BARINGO	BARINGO  NORTH	BARTABWA	KESUMET NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	KIMOLON NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	KINYACH PRIMARY SCHOOL	0.922279	35.676876
BARINGO	BARINGO  NORTH	BARTABWA	KOBOT NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	KOISERAT PRIMARY SCHOOL	0.8283	35.773428
BARINGO	BARINGO  NORTH	BARTABWA	MOIGUTWO PRIMARY SCHOOL	0.77872	35.807428
BARINGO	BARINGO  NORTH	BARTABWA	RIMO PRIMARY SCHOOL	0.83213	35.800028
BARINGO	BARINGO  NORTH	BARTABWA	SITEK ECD	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	TEKECHUCH NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARTABWA	TERENIN PRIMARY SCHOOL	0.79663	35.817778
BARINGO	BARINGO  NORTH	BARTABWA	TERIK PRIMARY SCHOOL	0.75626	35.796408
BARINGO	BARINGO  NORTH	BARTABWA	TILINGWO PRMARY SCHOOL	0.900648	35.672582
BARINGO	BARINGO  NORTH	BARTABWA	TOBOROI PRIMARY SCHOOL	0.87295	35.807278
BARINGO	BARINGO  NORTH	BARTABWA	TUNOIWO PRIMARY SCHOOL	0.8128	35.806408
BARINGO	BARINGO  NORTH	BARWESSA	AYATYA PRIMARY SCHOOL	0.890156	35.657462
BARINGO	BARINGO  NORTH	BARWESSA	BARTOGO PRIMARY SCHOOL	0.656345	35.69909
BARINGO	BARINGO  NORTH	BARWESSA	BARWESSA PRIMARY SCHOOL	0.714173	35.699052
BARINGO	BARINGO  NORTH	BARWESSA	CHEBUKAR PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	CHEMURA PRIMARY SCHOOL	0.583549	35.624798
BARINGO	BARINGO  NORTH	BARWESSA	CHEPTIGIT PRIMARY SCHOOL	0.786648	35.676782
BARINGO	BARINGO  NORTH	BARWESSA	CHEPTINACHUN NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	CHEPTOWONIN NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	CHESANGECH PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	CHESAWANY NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	KALEL AFRICA INLAND CHURCH	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	KAMPI YA NYASI PRIMARY SCHOOL	0.48087	35.992228
BARINGO	BARINGO  NORTH	BARWESSA	KAPKARANI PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	KAPLUK PRIMARY SCHOOL	0.5656	35.664968
BARINGO	BARINGO  NORTH	BARWESSA	KAPTIGIT PRIMARY SCHOOL	0.840775	35.660696
BARINGO	BARINGO  NORTH	BARWESSA	KAPTILOMWO PRIMARY SCHOOL	0.749144	35.731294
BARINGO	BARINGO  NORTH	BARWESSA	KAPTIONY PRIMARY SCHOOL	0.701792	35.733841
BARINGO	BARINGO  NORTH	BARWESSA	KAPTOROT PRIMARY SCHOOL	0.720688	35.758957
BARINGO	BARINGO  NORTH	BARWESSA	KASIRMA PRIMARY SCHOOL	0.584356	35.689715
BARINGO	BARINGO  NORTH	BARWESSA	KATIBEL PRIMARY SCHOOL	0.620554	35.668914
BARINGO	BARINGO  NORTH	BARWESSA	KETURWO PRIMARY SCHOOL	0.659591	35.689736
BARINGO	BARINGO  NORTH	BARWESSA	KIPKAREN PRIMARY SCHOOL	0.49967	35.030368
BARINGO	BARINGO  NORTH	BARWESSA	KIPKOLONY PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	KIPTAIWA PRIMARY SCHOOL	0.565191	35.687346
BARINGO	BARINGO  NORTH	BARWESSA	KIPTILINGON PRIMARY SCHOOL	0.636055	35.659295
BARINGO	BARINGO  NORTH	BARWESSA	KIPTOLELYO PRIMARY SCHOOL	0.583253	35.643453
BARINGO	BARINGO  NORTH	BARWESSA	KOISER PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	KOMBOSANG PRIMARY SCHOOL	0.771257	35.745004
BARINGO	BARINGO  NORTH	BARWESSA	KONOO PRIMARY SCHOOL	0.684012	35.684228
BARINGO	BARINGO  NORTH	BARWESSA	KORMOR PRIMARY SCHOOL	0.634068	35.701266
BARINGO	BARINGO  NORTH	BARWESSA	KUIKUI PRIMARY SCHOOL	0.805078	35.695697
